SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.52,-2.57854,"GPX_Bacillus-subtilis",-2.57854,-0.257339,-0.333143,-0,-1.54662,-16.1813,-9.10011,1.7819,-0.0492582,-32.4686,-25.2814,3.3201
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.52,-3.06586,"GPX_Bacillus-subtilis",-3.06586,-0.218536,-0.525744,-0,-1.71023,-14.6562,-10.7429,1.7819,-0.0490125,-32.4101,-25.399,7.00847
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.52,-3.5006,"GPX_Bacillus-subtilis",-3.5006,-0.195694,-0.850298,-0,-1.44524,-12.0677,-14.3375,1.7819,-0.0372684,-32.3572,-26.4052,12.1174
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.53,-3.21149,"GPX_Bacillus-subtilis",-3.21149,-0.258061,-0.559176,-0,-1.64694,-13.9086,-11.9919,1.7819,-0.0350014,-32.3346,-25.9005,9.16944
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.53,-3.15302,"GPX_Bacillus-subtilis",-3.15302,-0.0837319,-0.603195,-0,-1.5633,-11.9975,-13.5279,1.7819,-0.0556227,-32.3284,-25.5255,8.02634
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.53,-2.96224,"GPX_Bacillus-subtilis",-2.96224,-0.229332,-0.32,-0,-1.59496,-14.6044,-12.2507,1.7819,-0.0320242,-32.3168,-26.8551,9.40399
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.54,-2.83438,"GPX_Bacillus-subtilis",-2.83438,-0.298388,-0.382912,-0,-1.58223,-15.5156,-10.1804,1.7819,-0.0499018,-32.1984,-25.696,6.44506
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.54,-2.62739,"GPX_Bacillus-subtilis",-2.62739,-0.203747,-0.413857,-0,-1.51382,-14.9503,-9.86219,1.7819,-0.0510237,-32.0378,-24.8125,3.5791
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.54,-2.98108,"GPX_Bacillus-subtilis",-2.98108,-0.231247,-0.519446,-0,-1.57786,-14.5068,-11.143,1.7819,-0.0376333,-32.0057,-25.6498,7.74423
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.55,-2.98362,"GPX_Bacillus-subtilis",-2.98362,-0.156636,-0.534676,-0,-1.52912,-12.8531,-12.415,1.7819,-0.0401836,-31.9898,-25.2681,7.03049
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.55,-3.21247,"GPX_Bacillus-subtilis",-3.21247,-0.170379,-0.744796,-0,-1.59156,-14.1894,-11.5918,1.7819,-0.0393903,-31.9777,-25.7813,9.64833
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.56,-2.6195,"GPX_Bacillus-subtilis",-2.6195,-0.10992,-0.37402,-0,-1.56203,-14.9653,-10.4154,1.7819,-0.0448497,-31.8438,-25.3807,5.03726
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.56,-2.85579,"GPX_Bacillus-subtilis",-2.85579,-0.223931,-0.602621,-0,-1.49205,-16.0774,-9.80553,1.7819,-0.0443943,-31.7413,-25.8829,7.88015
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.56,-2.95179,"GPX_Bacillus-subtilis",-2.95179,-0.182026,-0.453231,-0,-1.70259,-13.5707,-11.1599,1.7819,-0.0433269,-31.7093,-24.7306,6.28324
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.57,-2.77371,"GPX_Bacillus-subtilis",-2.77371,-0.210659,-0.448942,-0,-1.49532,-14.7573,-10.7777,1.7819,-0.0461664,-31.6176,-25.535,6.8684
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.57,-3.01902,"GPX_Bacillus-subtilis",-3.01902,-0.344471,-0.633403,-0,-1.62798,-15.9876,-8.87696,1.7819,-0.0641397,-31.4075,-24.8646,7.61666
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.57,-2.88936,"GPX_Bacillus-subtilis",-2.88936,-0.265285,-0.431648,-0,-1.5974,-13.8195,-10.9795,1.7819,-0.0390234,-31.4073,-24.799,6.60836
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.57,-2.74167,"GPX_Bacillus-subtilis",-2.74167,-0.124696,-0.548527,-0,-1.5585,-14.062,-10.4536,1.7819,-0.020714,-31.3056,-24.5156,5.2138
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.58,-2.99909,"GPX_Bacillus-subtilis",-2.99909,-0.176605,-0.596013,-0,-1.58625,-13.3928,-11.4321,1.7819,-0.0376758,-31.2263,-24.8249,7.77496
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.58,-3.12335,"GPX_Bacillus-subtilis",-3.12335,-0.263584,-0.47922,-0,-1.58661,-14.654,-11.9768,1.7819,-0.0466261,-31.1491,-26.6308,12.3924
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.58,-2.60078,"GPX_Bacillus-subtilis",-2.60078,-0.218066,-0.353134,-0,-1.49004,-14.9288,-10.1551,1.7819,-0.051748,-31.0864,-25.0838,5.84204
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.59,-2.96357,"GPX_Bacillus-subtilis",-2.96357,-0.153566,-0.669316,-0,-1.45893,-12.5635,-12.1759,1.7819,-0.00909369,-30.9837,-24.7394,7.84724
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.59,-2.69482,"GPX_Bacillus-subtilis",-2.69482,-0.349258,-0.170523,-0,-1.84235,-16.6658,-8.47498,1.7819,-0.0100437,-30.8602,-25.1408,7.04873
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.6,-3.01006,"GPX_Bacillus-subtilis",-3.01006,-0.193449,-0.518833,-0,-1.70552,-15.3131,-10.412,1.7819,-0.0466972,-30.7847,-25.7252,10.5241
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.6,-2.53655,"GPX_Bacillus-subtilis",-2.53655,-0.00687677,-0.497895,-0,-1.38494,-12.5362,-11.707,1.7819,-0.0458804,-30.7726,-24.2432,4.32813
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.6,-2.37629,"GPX_Bacillus-subtilis",-2.37629,-0.00227324,-0.474266,-0,-1.35631,-13.1894,-10.8195,1.7819,-0.0429536,-30.2074,-24.0089,3.88534
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.61,-3.08942,"GPX_Bacillus-subtilis",-3.08942,-0.199468,-0.565292,-0,-1.51682,-12.9314,-12.6872,1.7819,-0.0400835,-29.9909,-25.6187,12.1224
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.61,-2.95002,"GPX_Bacillus-subtilis",-2.95002,-0.208182,-0.489064,-0,-1.7102,-14.8323,-10.2487,1.7819,-0.0455502,-29.8444,-25.081,10.7092
