SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.98,-3.95362,"GPX_Gossypium-hirsutum",-3.95362,-0.152836,-1.10209,-0,-1.40697,-12.4777,-15.8196,1.7819,-0.0767997,-37.5248,-28.2973,10.0641
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.98,-4.16048,"GPX_Gossypium-hirsutum",-4.16048,-0.16702,-1.1733,-0,-1.43116,-14.1093,-15.6298,1.7819,-0.12096,-37.5102,-29.7391,14.4625
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.98,-4.07274,"GPX_Gossypium-hirsutum",-4.07274,-0.224078,-1.08611,-0,-1.44326,-15.2529,-14.9141,1.7819,-0.101434,-37.3838,-30.167,14.9466
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.98,-3.68587,"GPX_Gossypium-hirsutum",-3.68587,-0.152639,-0.746457,-0,-1.40812,-14.7874,-15.4601,1.7819,-0.102161,-37.3639,-30.2475,12.3048
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.98,-3.59262,"GPX_Gossypium-hirsutum",-3.59262,-0.0344595,-0.642988,-0,-1.4294,-14.6204,-16.3245,1.7819,-0.0879791,-37.3421,-30.9449,13.1223
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.98,-3.18564,"GPX_Gossypium-hirsutum",-3.18564,-0.0294595,-0.863511,-0,-1.43726,-15.5381,-12.1531,1.7819,-0.037435,-36.8813,-27.6913,4.5988
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.99,-3.74414,"GPX_Gossypium-hirsutum",-3.74414,-0.256572,-1.01902,-0,-1.41993,-13.1986,-13.9413,1.7819,-0.0793901,-36.8364,-27.1399,7.61576
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.99,-3.61875,"GPX_Gossypium-hirsutum",-3.61875,-0.192302,-0.95595,-0,-1.54274,-13.3942,-13.1431,1.7819,-0.0684842,-36.598,-26.5373,5.94743
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.99,-3.13569,"GPX_Gossypium-hirsutum",-3.13569,-0.18365,-0.545557,-0,-1.52813,-15.279,-12.1048,1.7819,-0.0805784,-36.3201,-27.3838,4.73761
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.99,-3.49818,"GPX_Gossypium-hirsutum",-3.49818,-0.0927798,-0.698166,-0,-1.42809,-13.2415,-15.1633,1.7819,-0.124477,-36.1028,-28.4048,9.8393
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.99,-3.77446,"GPX_Gossypium-hirsutum",-3.77446,-0.230451,-0.985623,-0,-1.5107,-14.2007,-13.5574,1.7819,-0.085947,-35.7586,-27.758,11.1904
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30,-3.20868,"GPX_Gossypium-hirsutum",-3.20868,-0.149397,-0.640018,-0,-1.49424,-15.0188,-12.5754,1.7819,-0.069681,-35.7213,-27.5942,6.88028
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30,-3.22921,"GPX_Gossypium-hirsutum",-3.22921,-0.159632,-0.636915,-0,-1.50841,-14.9546,-12.5919,1.7819,-0.0696399,-35.5683,-27.5465,7.24417
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30,-2.92249,"GPX_Gossypium-hirsutum",-2.92249,-0.364052,-0.31015,-0,-1.76406,-17.9977,-8.8266,1.7819,-0.0422517,-35.4318,-26.8243,3.8675
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30,-3.3019,"GPX_Gossypium-hirsutum",-3.3019,-0.192794,-0.64208,-0,-1.54869,-13.2794,-13.1567,1.7819,-0.0627705,-35.1327,-26.4361,6.40234
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30,-3.41238,"GPX_Gossypium-hirsutum",-3.41238,-0.228424,-0.634421,-0,-1.56925,-14.0278,-13.2883,1.7819,-0.0675483,-34.7895,-27.3161,9.64371
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.01,-3.5353,"GPX_Gossypium-hirsutum",-3.5353,-0.175524,-1.02819,-0,-1.41127,-12.2204,-13.4506,1.7819,-0.0736142,-34.737,-25.6711,7.37122
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.01,-3.29969,"GPX_Gossypium-hirsutum",-3.29969,-0.192095,-0.642802,-0,-1.55696,-13.4147,-13.0449,1.7819,-0.0622667,-34.6924,-26.4596,7.3058
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.01,-3.49129,"GPX_Gossypium-hirsutum",-3.49129,-0.0978637,-0.9479,-0,-1.41218,-14.6853,-13.0904,1.7819,-0.117424,-34.6525,-27.7757,11.4295
