SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.89,-3.46761,"GPX_Staphylococcus-aureus",-3.46761,-0.0785514,-0.706761,-0,-1.48706,-10.7689,-15.804,1.7819,-0.0680923,-34.0233,-26.5729,9.91348
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.89,-3.19605,"GPX_Staphylococcus-aureus",-3.19605,-0.176581,-0.52,-0,-1.49978,-10.6061,-14.4563,1.7819,-0.0828497,-33.9913,-25.0624,5.01308
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.89,-2.73433,"GPX_Staphylococcus-aureus",-2.73433,-0.102088,-0.240101,-0,-1.55748,-13.4862,-12.6322,1.7819,-0.0474155,-33.8974,-26.1184,3.98293
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.89,-3.28564,"GPX_Staphylococcus-aureus",-3.28564,-0.214062,-0.50468,-0,-1.53079,-11.7964,-14.3319,1.7819,-0.0784034,-33.8877,-26.1283,7.98973
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.9,-3.30689,"GPX_Staphylococcus-aureus",-3.30689,-0.403718,-0.519539,-0,-1.61668,-15.4167,-11.6674,1.7819,-0.0279099,-33.8392,-27.0841,10.1141
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.9,-3.18147,"GPX_Staphylococcus-aureus",-3.18147,-0.330925,-0.37785,-0,-1.55733,-14.3941,-13.1672,1.7819,-0.00248272,-33.7894,-27.5613,10.2844
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.9,-3.01242,"GPX_Staphylococcus-aureus",-3.01242,-0.088752,-0.335376,-0,-1.57031,-13.8923,-13.7177,1.7819,-0.0476056,-33.7149,-27.61,9.33574
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.9,-3.14947,"GPX_Staphylococcus-aureus",-3.14947,-0.504052,-0.407448,-0,-1.44887,-13.7821,-12.3286,1.7819,-0.0326085,-33.6756,-26.1107,7.40685
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.91,-3.24814,"GPX_Staphylococcus-aureus",-3.24814,-0.0557699,-0.582118,-0,-1.48853,-12.0049,-15.1458,1.7819,-0.0315101,-33.6154,-27.1507,10.3113
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.91,-2.64091,"GPX_Staphylococcus-aureus",-2.64091,-0.291423,-0.166373,-0,-1.74852,-18.7822,-8.51595,1.7819,0,-33.5847,-27.2981,6.29046
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.91,-3.32282,"GPX_Staphylococcus-aureus",-3.32282,-0.217691,-0.556657,-0,-1.53067,-10.4248,-14.601,1.7819,-0.0883157,-33.2964,-25.0258,7.23585
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.91,-3.16913,"GPX_Staphylococcus-aureus",-3.16913,-0.0287028,-0.52,-0,-1.39664,-9.77994,-16.4553,1.7819,-0.0483995,-33.2165,-26.2353,8.7137
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.91,-2.9346,"GPX_Staphylococcus-aureus",-2.9346,-0.037634,-0.492397,-0,-1.58669,-12.3609,-12.9054,1.7819,-0.0459168,-33.0894,-25.2664,5.32951
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.92,-3.51892,"GPX_Staphylococcus-aureus",-3.51892,-0.151208,-0.485715,-0,-1.58141,-12.4461,-15.7528,1.7819,-0.0972668,-32.9801,-28.1989,15.6068
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.92,-2.90149,"GPX_Staphylococcus-aureus",-2.90149,-0.0891234,-0.335285,-0,-1.58084,-13.2858,-13.1086,1.7819,-0.047566,-32.4434,-26.3944,8.65871
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.92,-2.90976,"GPX_Staphylococcus-aureus",-2.90976,-0.0284037,-0.496479,-0,-1.59879,-12.6827,-12.6139,1.7819,-0.0417786,-31.3708,-25.2966,8.64165
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.93,-2.91468,"GPX_Staphylococcus-aureus",-2.91468,-0.0363488,-0.488397,-0,-1.58193,-12.3916,-12.8396,1.7819,-0.0443935,-31.2127,-25.2312,8.84685
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.93,-2.91821,"GPX_Staphylococcus-aureus",-2.91821,-0.0292703,-0.497523,-0,-1.58657,-12.7035,-12.7316,1.7819,-0.0418252,-31.0722,-25.4352,9.58141
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.93,-2.72276,"GPX_Staphylococcus-aureus",-2.72276,-0.0963101,-0.446784,-0,-1.39424,-13.8728,-12.4577,1.7819,-0.00503031,-30.9094,-26.3305,10.3241
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.93,-2.68608,"GPX_Staphylococcus-aureus",-2.68608,-0.151438,-0.446422,-0,-1.39524,-11.3443,-12.3496,1.7819,-0.0552356,-30.7685,-23.6938,5.07135
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.93,-2.81878,"GPX_Staphylococcus-aureus",-2.81878,-0.0185274,-0.48,-0,-1.44515,-12.3016,-13.2735,1.7819,-0.050896,-30.6051,-25.5751,10.1041
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.94,-2.88393,"GPX_Staphylococcus-aureus",-2.88393,-0.0228666,-0.518346,-0,-1.60511,-11.4401,-12.6505,1.7819,-0.0499306,-30.5757,-24.0906,7.66523
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.94,-2.86351,"GPX_Staphylococcus-aureus",-2.86351,-0.138034,-0.413665,-0,-1.39677,-12.5012,-13.6461,1.7819,-0.0249676,-30.0527,-26.1473,12.5374
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.94,-2.75743,"GPX_Staphylococcus-aureus",-2.75743,-0.0776907,-0.53977,-0,-1.4615,-12.6401,-12.0898,1.7819,-0.01489,-29.8422,-24.7299,9.49907
